unique_id	corpus	match_position	year	author	plaintext	status	kommer_position	att_position	verb_position	verb_lemma	distance_to_att_words	distance_to_att_symbols	distance_to_verb_words	distance_to_verb_symbols	voice	inf_length	att_before	distance_att_before_words	distance_att_before_symbols	att_between	att_after	distance_att_after_words	distance_att_after_symbols	subject_id	subject_form	subject_lemma	subject_type	subject_pos	subject_relpos	genre	month	day	time	text_id	thread_id	poslist	section	shortsection	userid
22	DN1987	1688959	1987		Terry Waite har setts i en bilkortege i östra Libanon och kommer att återvända till det muslimska västra Beirut inom 48 timmar , rapporterade en ledande Beiruttidning på fredagen .	att	12	13	14	återvända	1	1	2	4	active	1	0			1	0			0						news	01	31				PM PM VB VB PP DT NN PP JJ PM KN VB IE VB PP PN JJ JJ PM PP RG NN MID VB DT PC NN PP NN MAD			
23	DN1987	1698955	1987		Efter denna soliditetsförstärkande avyttring kommer koncernen att bestå av två huvudområden : läkemedelssubstanser och veterinärprodukter .	att	5	7	8	bestå	2	10	3	13	active	1	0			1	0			6	koncernen	koncern	other	NN	after	news	01	28				PP DT PC NN VB NN IE VB PP RG NN MID NN KN NN MAD			
25	DN1987	1703346	1987		Mer om det kommer att stå i På Stans kalendarium .	att	4	5	6	stå	1	1	2	4	active	1	0			1	0			3	det	den	other	PN	before	news	01	31				JJ SN PN VB SN VB PP PP NN NN MAD			
27	DN1987	1719093	1987		Anna-Greta Leijon kommer nu att föreslå att regeringen ger arbetarskyddsstyrelsen i uppdrag att göra en utredning som gäller alla branscher .	att	3	5	6	föreslå	2	3	3	6	active	1	0			1	2	1	1	1	Anna-Greta	Anna-Greta	other	PM	before	news	01	29				PM PM VB AB IE VB SN NN VB NN PP NN IE VB DT NN HP VB DT NN MAD			
28	DN1987	1727317	1987		Turneringen , uppkallad efter den amerikanske komikern , kommer att spelas på en bana som ritats av Arnold Palmer i Chung Shan nära Hongkong .	att	9	10	11	spela	1	1	2	4	s-form	1	0			1	0			1	Turneringen	turnering	other	NN	before	news	01	30				NN MID PC PP DT JJ NN MID VB IE VB PP DT NN HP VB PP PM PM PP PM PM JJ PM MAD			
29	DN1987	1732208	1987		I en omfattande hemvård kommer det att krävas större allmänkunskap hos varje enskild vårdare om omsorgen ska nå upp till den önskvärda kvaliteten .	att	5	7	8	krävas	2	4	3	7	s-form	1	0			1	0			6	det	den	dummy	PN	after	news	01	31				PP DT PC NN VB PN IE VB JJ NN PP DT JJ NN PP NN VB VB PL PP DT JJ NN MAD			
30	DN1987	1733407	1987		Förre utrikeshandelsminister Mats Hellström , hans företrädare Björn Molin ( fp ) och Staffan Burenstam Linder ( m ) kommer att förhöras i riksdagens konstitutionsutskott ( KU ) om Sveriges vapenaffärer med Singapore och Indonesien .	att	20	21	22	förhöra	1	1	2	4	s-form	1	0			1	0			3	Mats	Mats	other	PM	before	news	01	30				JJ NN PM PM MID PS NN PM PM PAD PM PAD KN PM PM PM PAD PM PAD VB IE VB PP NN NN PAD PM PAD PP PM NN PP PM KN PM MAD			
32	DN1987	1768171	1987		Och de som följer datormarknaden , säger att det kommer att dröja åtminstonde till 1988 innan något avgörande nytt kommer in på marknaden .	att	10	11	12	dröja	1	1	2	4	active	1	1	2	4	1	0			9	det	den	dummy	PN	before	news	01	28				KN PN HP VB NN MID VB SN PN VB IE VB AB PP RG SN DT PC JJ VB PL PP NN MAD			
36	DN1987	1810238	1987		Förre utrikeshandelsministern Mats Hellström och flera av hans borgerliga företrädare kommer att höras om Bofors misstänkta smuggelaffärer med bland annat Iran .	att	11	12	13	höra	1	1	2	4	s-form	1	0			1	0			6	flera	mången	other	PN	before	news	01	28				JJ NN PM PM KN PN PP PS JJ NN VB IE VB PP PM PC NN PP PP PN PM MAD			
37	DN1987	1814158	1987		-- Prisstoppet är fullständigt omotiverat och kommer att försvåra arbetet med att på sikt få ned vår inflationstakt , säger Industriförbundets VD , Lars Nabseth , i en första kommentar till prisstoppet .	att	7	8	9	försvåra	1	1	2	4	active	1	0			1	1	3	11	0						news	01	31				MID NN VB AB AB KN VB IE VB NN PP IE PP NN VB PL PS NN MID VB PM NN MID PM PM MID PP DT RO NN PP NN MAD			
38	DN1987	1820726	1987		-- Därför kommer jag att yrka att han döms till sluten psykiatrisk vård , säger åklagaren Gunnar Wieslander till TT .	att	3	5	6	yrka	2	4	3	7	active	1	0			1	1	1	1	4	jag	jag	other	PN	after	news	01	30				MID AB VB PN IE VB SN PN VB PP JJ JJ NN MID VB NN PM PM PP PM MAD			
39	DN1987	1824640	1987		Några av dem försökte jag ta upp i min artikel på nyårsafton , och jag är övertygad om att många , många deltagare i Moacirklarna också har ställt och kommer att ställa just dessa frågor .	att	30	31	32	ställa	1	1	2	4	active	1	1	10	50	1	0			0						news	01	30				PN PP PN VB PN VB PL PP PS NN PP NN MID KN PN VB PC PP SN JJ MID JJ NN PP NN AB VB PC KN VB IE VB AB DT NN MAD			
40	DN1987	1833258	1987		Du kommer att tro att du simmar mitt i ett stim av hajar .	att	2	3	4	tro	1	1	2	4	active	1	0			1	1	1	1	1	Du	du	other	PN	before	news	01	31				PN VB IE VB SN PN VB AB PP DT NN PP NN MAD			
41	DN1987	1833272	1987		Du kommer att höra käftarna smaska när de sliter stora stycken ur det pris du hade tänkt dig .	att	2	3	4	höra	1	1	2	4	active	1	0			1	0			1	Du	du	other	PN	before	news	01	31				PN VB IE VB NN VB HA PN VB JJ NN PP DT NN PN VB VB PN MAD			
44	DN1987	1838630	1987		Köparna / kunderna kommer också i fortsättningen ha möjlighet att utnyttja konkurrenssituationen när de köper in torrbatterier .	omission	4	0	8	ha	4	21	4	21	active	1	0			0	1	2	10	2	/	/	other	MID	before	news	01	28				NN MID NN VB AB PP NN VB NN IE VB NN HA PN VB PL NN MAD			
45	DN1987	1840238	1987		En roman som Matilda Matsson nu äntligen kommer att debutera med .	att	8	9	10	debutera	1	1	2	4	active	1	0			1	0			2	roman	roman	other	NN	before	news	01	31				DT NN KN PM PM AB AB VB IE VB PP MAD			
46	DN1987	1846059	1987		Sitthytt kommer att vara gratis även fortsättningsvis .	att	2	3	4	vara	1	1	2	4	active	1	0			1	0			1	Sitthytt	sitthytt	other	NN	before	news	01	31				NN VB IE VB AB AB AB MAD			
47	DN1987	1857173	1987		Några nya vaccinförsök kommer inte att påbörjas förrän bilden är helt klar .	att	4	6	7	påbörja	2	5	3	8	s-form	1	0			1	0			3	vaccinförsök	vaccinförsök	other	NN	before	news	01	30				DT JJ NN VB AB IE VB SN NN VB AB JJ MAD			
49	DN1987	1879034	1987		Den kommer knappast att syssla med statshemligheter av en sådan natur att en särbehandling vore motiverad .	att	2	4	5	syssla	2	9	3	12	active	1	0			1	1	7	34	1	Den	den	dummy	PN	before	news	01	30				PN VB AB IE VB PP NN PP DT JJ NN SN DT NN VB PC MAD			
50	DN1987	1882311	1987		Kollektivanslutningen kommer med det snaraste att upphöra även i Grönköping , meddelar hr fackordf Th Lundblad ( s ) , men kan det givetvis icke ske , förrän vi inom både fack och parti blivit helt eniga om den nya benämningen å densamma .	att	2	6	7	upphöra	4	15	5	18	active	1	0			1	0			1	Kollektivanslutningen	kollektivanslutning	other	NN	before	news	01	31				NN VB PP DT JJ IE VB AB PP NN MID VB NN RG NN PM PAD NN PAD MID KN VB PN AB AB VB MID SN PN PP KN NN KN NN VB AB JJ PP DT JJ NN PP PN MAD			
51	DN1987	1882865	1987		Margareta Hedelius poängterar flera gånger att barnen inte kommer att få sämre service vid närbiblioteken .	att	9	10	11	få	1	1	2	4	active	1	1	3	11	1	0			7	barnen	barn	other	NN	before	news	01	30				PM PM VB JJ NN SN NN AB VB IE VB JJ NN PP NN MAD			
53	DN1987	1887465	1987		-- Vi har ingen anledning att försöka dölja någonting av arbetslösheten , och den här gruppen studerande kommer också att öppet redovisas .	att	18	20	22	redovisa	2	6	4	14	s-form	1	1	11	64	1	0			13	och	och	other	KN	before	news	01	29				MID PN VB DT NN IE VB VB PN PP NN MID KN DT AB NN NN VB AB IE AB VB MAD			
55	DN1987	1891392	1987		Förhandlingarna fortsatte under hela torsdagen och kommer också i dag att föras .	att	7	11	12	föra	4	10	5	13	s-form	1	0			1	0			0						news	01	30				NN VB PP JJ NN KN VB AB PP NN IE VB MAD			
56	DN1987	1898122	1987		FISA vill nu förebygga ytterligare regelbråk och kommer därför att skicka en speciell teknisk kommission till nästa VM-rally , Svenska rallyt som avgörs i mitten av februari .	att	8	10	11	skicka	2	7	3	10	active	1	0			1	0			0						news	01	31				PM VB AB VB JJ NN KN VB AB IE VB DT JJ JJ NN PP JJ PM MID JJ NN HP VB PP NN PP NN MAD			
57	DN1987	1901982	1987		-- Det är inget oanständigt i den här skulpturen , men jag är rädd för att kvinnan kommer att utsättas för skadegörelse .	att	18	19	20	utsätta	1	1	2	4	s-form	1	1	2	8	1	0			17	kvinnan	kvinna	other	NN	before	news	01	31				MID PN VB DT JJ PP DT AB NN MID KN PN VB JJ PP SN NN VB IE VB PP NN MAD			
59	DN1987	1908323	1987		Längst gick emellertid Carl Hamilton , som ifrågasatte om inte kraven på ömsesidiga åtgärder kommer att få de mest omvälvande effekterna när det gäller handeln med tjänster .	att	15	16	17	få	1	1	2	4	active	1	0			1	0			11	kraven	krav	other	NN	before	news	01	31				AB VB AB PM PM MID HP VB SN AB NN PP JJ NN VB IE VB DT AB PC NN HA PN VB NN PP NN MAD			
60	DN1987	1911492	1987		Lord Cockfield gjorde sitt bästa för att övertyga om att så också kommer att bli fallet .	att	13	14	15	bli	1	1	2	4	active	1	2	3	8	1	0			0						news	01	31				NN PM VB PS JJ PP IE VB PP IE AB AB VB IE VB NN MAD			
61	DN1987	1914237	1987		Mot slutet av året kommer aktieägarna att få företrädesrätt att teckna 2 miljoner aktier i Svenska Kredits dotterbolag International Credit som ska bedriva internationell kreditåterförsäkring främst i USA .	att	5	7	8	få	2	12	3	15	active	1	0			1	1	2	15	6	aktieägarna	aktieägare	other	NN	after	news	01	29				PP NN PP NN VB NN IE VB NN IE VB RG NN NN PP JJ NN NN PM PM HP VB VB JJ NN AB PP PM MAD			
62	DN1987	1915235	1987		Om några tusen år kommer vi förmodligen inte alls att ha kvar några böcker från tiden efter 1840 , om de inte avsyras en efter en .	att	5	10	11	ha	5	22	6	25	active	1	0			1	0			6	vi	vi	other	PN	after	news	01	31				PP DT RG NN VB PN AB AB AB IE VB PL DT NN PP NN PP RG MID SN PN AB VB RG PP DT MAD			
63	DN1987	1926532	1987		Man kan naturligtvis betvivla att EG ens denna gång kommer att kunna hålla tidtabellen .	omission	10	0	12	kunna	1	1	2	4	active	2	1	5	15	1	0			9	gång	gång	other	NN	before	news	01	31				PN VB AB VB SN PM AB DT NN VB IE VB VB NN MAD			
65	DN1987	1926968	1987		Vägverket kommer sannolikt att enkelrikta personbilstrafiken med tyngre fordon .	att	2	4	5	enkelrikta	2	10	3	13	active	1	0			1	0			1	Vägverket	vägverk	other	NN	before	news	01	28				NN VB JJ IE VB NN PP JJ NN MAD			
66	DN1987	1929220	1987		Det nya partipresidiet kommer att väljas av extrastämman den 21 februari .	att	4	5	6	välja	1	1	2	4	s-form	1	0			1	0			3	partipresidiet	partipresidium	other	NN	before	news	01	30				DT JJ NN VB IE VB PP NN DT RG NN MAD			
67	DN1987	1931743	1987		Sydafrika vill samarbeta med grannländerna men ' kommer inte att sky några medel ' för att stoppa ' infiltrationen ' .	att	8	10	11	sky	2	5	3	8	active	1	0			1	1	4	14	0						news	01	31				PM VB VB PP NN KN PAD VB AB IE VB DT NN PAD PP IE VB PAD NN PAD MAD			
68	DN1987	1933162	1987		Förmodligen är det för denna nyhet som den i dag utkommande elfte upplagan av SAOL främst kommer att uppmärksammas .	att	17	18	19	uppmärksamma	1	1	2	4	s-form	1	0			1	0			0						news	01	31				AB VB PN PP DT NN HP DT PP NN PC RO NN PP PM AB VB IE VB MAD			
69	DN1987	1940137	1987		Det dröjer 53 år innan någon kommer på idén att väcka männen till liv igen .	att	7	10	11	väcka	3	7	4	10	active	1	0			1	0			6	någon	någon	other	PN	before	news	01	31				PN VB RG NN SN PN VB PP NN IE VB NN PP NN AB MAD			
71	DN1987	1962082	1987		Mot slutet av året kommer aktieägarna att få företrädesrätt att teckna 2 miljoner aktier i Svenska Kredits dotterbolag International Credit som ska bedriva internationell kreditåterförsäkring främst i USA .	att	5	7	8	få	2	12	3	15	active	1	0			1	1	2	15	6	aktieägarna	aktieägare	other	NN	after	news	01	29				PP NN PP NN VB NN IE VB NN IE VB RG NN NN PP JJ NN NN PM PM HP VB VB JJ NN AB PP PM MAD			
73	DN1987	1967458	1987		MAX-lab är ett sant tvärvetenskapligt projekt som kommer att användas av forskare inom bl a acceleratorfysik , atomspektroskopi , fysikalisk kemi , fysiologi , kärnfysik , molekylfysik , molekylär biofysik , medicin , optik , radiofysik , ytfysik och ytkemi .	att	8	9	10	använda	1	1	2	4	s-form	1	0			1	0			7	som	som	other	HP	before	news	01	30				PM VB DT JJ JJ NN HP VB IE VB PP NN PP NN NN NN MID NN MID JJ NN MID NN MID NN MID NN MID JJ NN MID NN MID NN MID NN MID NN KN NN MAD			
74	DN1987	1970946	1987		Vpk kommer att hjälpa regeringen att få igenom Vietnambiståndet i riksdagen .	att	2	3	4	hjälpa	1	1	2	4	active	1	0			1	1	2	11	1	Vpk	vpk	other	PM	before	news	01	31				PM VB IE VB NN IE VB PL NN PP NN MAD			
75	DN1987	1995853	1987		' Platoon ' kommer i år att följas av ytterligare fyra Vietnamfilmer , varav två gjorts av andra Vietnamveteraner .	omission	4	0	8	följa	3	4	4	7	s-form	1	0			1	0			0						news	01	28				PAD PM PAD VB PP NN IE VB PP AB RG NN MID HA RG VB PP JJ NN MAD			
76	DN1987	2034905	1987		De fyra bästa från amatör-VM i Helsingfors i vår kommer också att inbjudas .	att	10	12	13	inbjuda	2	6	3	9	s-form	1	0			1	0			3	bästa	god	other	JJ	before	news	01	30				DT RG JJ PP PM PP PM PP PS VB AB IE VB MAD			
77	DN1987	2037004	1987		Dramaten kommer att få nya kläder under sommaren .	att	2	3	4	få	1	1	2	4	active	1	0			1	0			1	Dramaten	Dramaten	other	PM	before	news	01	31				PM VB IE VB JJ NN PP NN MAD			
78	DN1987	2039331	1987		Kommer han att stanna i Sverige om hans möjligheter att arbeta inom sitt yrkesområde , hjärtkirurgin , så allvarligt begränsas ?	att	1	3	4	stanna	2	4	3	7	active	1	0			1	1	6	26	2	han	han	other	PN	after	news	01	31				VB PN IE VB PP PM PP PS NN IE VB PP PS NN MID NN MID AB AB VB MAD			
79	DN1987	2042449	1987		FISA har också gjort klart att de stall eller förare som frångår reglementet kommer att uteslutas från hela rally-VM .	att	14	15	16	utesluta	1	1	2	4	s-form	1	1	8	40	1	0			9	eller	eller	other	KN	before	news	01	31				PM VB AB VB AB SN DT NN KN NN HP VB NN VB IE VB PP JJ PM MAD			
80	DN1987	2042538	1987		Om man möjligtvis inte tycker Platons bevis håller och kanske anser att Stendahl är på rätt spår så kommer diskussionen att fortsätta , förmodligen i evighet .	att	19	21	22	fortsätta	2	13	3	16	active	1	1	7	23	1	0			20	diskussionen	diskussion	other	NN	after	news	01	30				SN PN AB AB VB PM NN VB KN AB VB SN PM VB PP JJ NN AB VB NN IE VB MID AB PP NN MAD			
81	DN1987	2048151	1987		Stadens torn , som medverkade i en tävling häromsistens i På Stan , kommer att blåsas bort det ena efter det andra utan att vi märker det .	att	14	15	16	blåsa	1	1	2	4	s-form	1	0			1	1	8	28	2	torn	torn	other	NN	before	news	01	31				NN NN MID HP VB PP DT NN AB PP PP NN MID VB IE VB PL DT JJ PP DT RO PP SN PN VB PN MAD			
82	DN1987	2061822	1987		Målet 150 000 kronor är nått , och därmed är det klart att halssmycket snart kommer att finnas på museet i Växjö .	att	16	17	18	finnas	1	1	2	4	s-form	1	1	3	17	1	0			14	halssmycket	halssmycke	other	NN	before	news	01	28				NN RG RG NN VB VB MID KN AB VB PN JJ SN NN AB VB IE VB PP NN PP PM MAD			
84	DN1987	2065984	1987		' Givetvis kommer natttrepertoaren inte att bestå av utpräglade våldsfilmer ' , meddelar dock SF , vilket Nytt noterar med tacksamhet .	att	3	6	7	bestå	3	21	4	24	active	1	0			1	0			0						news	01	30				PAD AB VB NN AB IE VB PP JJ NN PAD MID VB AB PM MID HP JJ VB PP NN MAD			
85	DN1987	2067203	1987		I samma stund kommer han själv att träda tillbaka från det direkta arbetet med Palmeutredningen .	att	4	7	8	träda	3	9	4	12	active	1	0			1	0			5	han	han	other	PN	after	news	01	29				PP DT NN VB PN JJ IE VB PL PP DT JJ NN PP NN MAD			
86	DN1987	2069553	1987		Mannen hävdar att det kommer att kosta 109 000 eftersom han bor en mil från närmaste telestation .	att	5	6	7	kosta	1	1	2	4	active	1	1	2	4	1	0			4	det	den	dummy	PN	before	news	01	31				NN VB SN PN VB IE VB RG RG SN PN VB DT NN PP JJ NN MAD			
87	DN1987	2069739	1987		NDF försäkrar dock i sitt uttalande att gerillan kommer att iaktta avtalet om eldupphör fram tills det löper ut den 8 februari .	att	9	10	11	iaktta	1	1	2	4	active	1	1	2	9	1	0			8	gerillan	gerilla	other	NN	before	news	01	31				PM VB AB PP PS NN SN NN VB IE VB NN PP NN AB SN PN VB PL DT RO NN MAD			
88	DN1987	2076869	1987		Vi kommer nu att vänta med spänning på hur Pam ska avföras ur serien .	att	2	4	5	vänta	2	3	3	6	active	1	0			1	0			1	Vi	vi	other	PN	before	news	01	30				PN VB AB IE VB PP NN PP HA NN VB VB PP NN MAD			
90	DN1987	2086519	1987		Vi anser att hon vuxit med de ansvarsfulla uppgifter hon fått och kommer att växa än mer , sade Inge Pettersson högtidligt och strikt till protokollet på presskonferensen .	att	13	14	15	växa	1	1	2	4	active	1	1	10	45	1	0			12	och	och	other	KN	before	news	01	30				PN VB SN PN VB PP DT JJ NN PN VB KN VB IE VB KN AB MID VB PM PM AB KN AB PP NN PP NN MAD			
91	DN1987	2087201	1987		Riktvärdet för cesium 137 i livsmedel kommer sannolikt att höjas , gränsen för årsintag av radioaktivitet via livsmedel att sänkas .	att	7	9	10	höjas	2	10	3	13	s-form	2	0			1	1	8	47	1	Riktvärdet	riktvärde	other	NN	before	news	01	29				NN PP NN RG PP NN VB JJ IE VB MID NN PP NN PP NN PP NN IE VB MAD			
92	DN1987	2089296	1987		Samtliga i företagsledningen kommer dock att kvarstå såsom delägare .	att	4	6	7	kvarstå	2	5	3	8	active	1	0			1	0			1	Samtliga	samtlig	other	PN	before	news	01	31				PN PP NN VB AB IE VB KN NN MAD			
93	DN1987	2089448	1987		Därför är vi misstänksamma mot vad som kommer att hända , vi har ju redan sett dribbel med siffrorna .	att	8	9	10	hända	1	1	2	4	active	1	0			1	0			6	vad	vad	other	HP	before	news	01	28				AB VB PN JJ PP HP HP VB IE VB MID PN VB AB AB PC NN PP NN MAD			
94	DN1987	2094455	1987		De nyinflyttade kommer att bo på en byggarbetsplats i flera år .	att	3	4	5	bo	1	1	2	4	active	1	0			1	0			2	nyinflyttade	nyinflyttad	other	PC	before	news	01	30				DT PC VB IE VB PP DT NN PP JJ NN MAD			
96	DN1987	2118788	1987		Förutom alla tekniska detaljer anser jänkarna att erfarenhet och rutin kommer att vara avgörande faktorer .	att	11	12	13	vara	1	1	2	4	active	1	1	4	19	1	0			0						news	01	30				PP DT JJ NN VB NN IE NN KN NN VB IE VB PC NN MAD			
97	DN1987	2121800	1987		Men även om vår suveränitet på papperet förblir opåverkad , så kommer det inte att kunna undvikas att avsteg från svensk sida också kräver sitt ekonomiska pris i form av sämre villkor för våra exportföretag på deras i särklass viktigaste marknad .	att	12	15	16	kunna	3	8	4	11	active	2	0			1	1	2	9	13	det	den	dummy	PN	after	news	01	31				KN AB PP PS NN PP NN VB JJ MID AB VB PN AB IE VB VB SN NN PP JJ NN AB VB PS JJ NN PP NN PP JJ NN PP PS NN PP PS PP NN JJ NN MAD			
98	DN1987	2121877	1987		-- Snöröjningen kommer att hata henne , hävdar Viola .	att	3	4	5	hata	1	1	2	4	active	1	0			1	0			2	Snöröjningen	snöröjning	other	NN	before	news	01	31				MID NN VB IE VB PN MID VB PM MAD			
99	DN1987	2123199	1987		Men som förhandlingspartner med EG har Efta under de senaste åren kommit att spela en viktigare roll , EG-Efta-möten kommer att vara forum för överenskommelser om gemensamma normer för de båda organisationernas medlemsländer .	att	20	21	22	vara	1	1	2	4	active	1	1	6	34	1	0			19	EG-Efta-möten	EG-Efta-möten	other	NN	before	news	01	31				KN KN NN PP PM VB PM PP DT JJ NN VB IE VB DT JJ NN MID NN VB IE VB NN PP NN PP JJ NN PP DT JJ NN NN MAD			
100	DN1987	2132822	1987		Krisen i den norska ekonomin kommer att slå hårt mot kommuner och landsting under 1987 .	att	6	7	8	slå	1	1	2	4	active	1	0			1	0			1	Krisen	kris	other	NN	before	news	01	29				NN PP DT JJ NN VB IE VB AB PP NN KN NN PP RG MAD			
101	DN1987	2133384	1987		Välgörenhetsorganisationen United Way International och det kinesiska golfförbundet kommer att dela på vinsten från Chung Shan-turneringen .	att	9	10	11	dela	1	1	2	4	active	1	0			1	0			8	golfförbundet	golfförbund	other	NN	before	news	01	30				NN PM PM PM KN DT JJ NN VB IE VB PL NN PP PM NN MAD			
104	DN1987	2170585	1987		Jag har en föreställning om att det är en vacker konsert men är ändå spänd på hur det kommer att låta när noterna får liv .	att	19	20	21	låta	1	1	2	4	active	1	1	13	43	1	0			18	det	den	other	PN	before	news	01	31				PN VB DT NN PP SN PN VB DT JJ NN KN VB AB PC PP HA PN VB IE VB HA NN VB NN MAD			
